Product Name,Concentration uM,morphology score,infection rate (%),Cell model
ROCURONIUM BROMIDE,10.0,0.06,110.0,Vero E6
rociletinib,10.0,-0.41,105.5,Vero E6
robalzotan,10.0,0.01,100.5,Vero E6
Ro-5126766,0.83,-0.07,113.0,Vero E6
Ro-4987655,0.83,-0.18,96.5,Vero E6
RG4733,10.0,0.22,86.0,Vero E6
R-1479,10.0,0.0,108.0,Vero E6
Ro-90-7501,10.0,-0.22,108.0,Vero E6
Ro-67-7476,10.0,-0.11,109.5,Vero E6
Ro-60-0175,10.0,0.45,90.5,Vero E6
Ro-3306,10.0,0.11,97.0,Vero E6
Ro-3,10.0,0.12,94.0,Vero E6
Ro-25-6981,10.0,0.16,98.5,Vero E6
Ro-20-1724,10.0,0.43,86.0,Vero E6
Ro-19-4605,10.0,-0.01,101.5,Vero E6
Ro-15-4513,10.0,0.01,109.5,Vero E6
Ro-1138452,10.0,0.08,100.0,Vero E6
Ro-106-9920,0.83,0.19,85.5,Vero E6
Ro-10-5824,10.0,0.06,108.0,Vero E6
Ro-08-2750,10.0,0.1,100.5,Vero E6
Ro-04-5595,10.0,0.3,72.0,Vero E6
Ro-61-8048,10.0,-0.0,107.0,Vero E6
Ro-48-8071,10.0,0.73,33.5,Vero E6
Ro-28-1675,10.0,0.04,104.5,Vero E6
RN-1747,10.0,-0.07,111.5,Vero E6
RN-1734,10.0,-0.1,110.0,Vero E6
RN-1,10.0,0.09,94.0,Vero E6
RKI-1447,10.0,0.35,96.5,Vero E6
rizatriptan,10.0,-0.01,114.0,Vero E6
rivastigmine,10.0,0.14,101.0,Vero E6
Rivaroxaban (Xarelto),10.0,0.19,97.5,Vero E6
ritonavir,10.0,0.03,104.5,Vero E6
ritodrine,10.0,0.15,96.0,Vero E6
RITA,0.83,0.19,105.0,Vero E6
risedronate,10.0,0.12,89.0,Vero E6
ripazepam,10.0,0.03,109.0,Vero E6
ripasudil,10.0,0.44,112.0,Vero E6
riodoxol,10.0,0.06,107.0,Vero E6
rimonabant,10.0,0.17,109.5,Vero E6
rimexolone,10.0,0.13,98.5,Vero E6
rimegepant,10.0,0.18,96.5,Vero E6
rimantadine,10.0,0.14,102.5,Vero E6
riluzole,10.0,0.19,105.0,Vero E6
rilpivirine,0.83,0.14,111.0,Vero E6
rilmenidine,10.0,-0.03,99.5,Vero E6
rifaximin,10.0,0.08,108.5,Vero E6
rifapentine,10.0,0.19,107.0,Vero E6
rifamycin-sv,10.0,-0.1,108.5,Vero E6
rifamycin-sv,10.0,0.12,80.0,Vero E6
rifampin,0.83,-0.03,111.5,Vero E6
ribostamycin-sulfate,10.0,-0.08,119.0,Vero E6
ribostamycin-sulfate,10.0,0.2,90.5,Vero E6
riboflavin-5-phosphate-sodium,10.0,0.17,101.5,Vero E6
riboflavin,10.0,0.21,101.5,Vero E6
ribociclib,10.0,0.24,113.0,Vero E6
ribitol,10.0,0.07,105.0,Vero E6
ribavirin,10.0,0.02,97.5,Vero E6
RI-1,10.0,0.23,99.0,Vero E6
rheochrysidin,10.0,0.12,109.0,Vero E6
rhein,10.0,0.27,99.5,Vero E6
RHC-80267,10.0,0.11,104.5,Vero E6
RGFP966,0.83,-0.1,109.0,Vero E6
RGB-286638,10.0,-0.35,117.0,Vero E6
RG7112,10.0,-0.05,104.0,Vero E6
RG2833,0.83,-0.05,120.0,Vero E6
RG108,10.0,-0.08,115.0,Vero E6
reversine,10.0,-0.11,105.5,Vero E6
reversan,10.0,0.23,98.0,Vero E6
revaprazan,10.0,0.59,42.5,Vero E6
retinyl-acetate,10.0,-0.23,113.0,Vero E6
retinol,10.0,-0.02,109.5,Vero E6
Retigabine,10.0,0.07,106.0,Vero E6
retaspimycin,10.0,-0.03,108.5,Vero E6
retapamulin,10.0,0.03,109.0,Vero E6
resveratrol,10.0,0.01,103.5,Vero E6
resorcinol,10.0,0.05,110.5,Vero E6
resminostat,0.83,-0.1,116.0,Vero E6
resiquimod,10.0,0.07,113.0,Vero E6
resibufogenin,10.0,-0.24,109.5,Vero E6
reserpine,10.0,0.13,110.5,Vero E6
resatorvid,10.0,0.07,99.5,Vero E6
repsox,10.0,0.19,97.0,Vero E6
reparixin,10.0,0.14,100.0,Vero E6
remoxipride,10.0,0.16,98.5,Vero E6
remodelin,10.0,0.03,100.0,Vero E6
remimazolam,10.0,0.13,95.0,Vero E6
Remdesivir,10.0,0.76,26.0,Vero E6
remacemide,10.0,-0.12,113.0,Vero E6
relebactam,10.0,0.01,110.0,Vero E6
relcovaptan,10.0,-0.04,106.5,Vero E6
regorafenib,0.83,0.04,110.5,Vero E6
regadenoson,10.0,-0.03,111.0,Vero E6
Rec-15/2615,10.0,-0.06,92.5,Vero E6
reboxetine,10.0,-0.09,113.0,Vero E6
rebamipide,10.0,0.08,104.5,Vero E6
RBC8,10.0,0.06,100.0,Vero E6
ravuconazole,10.0,0.03,107.0,Vero E6
GDC-0994,0.83,-0.07,108.5,Vero E6
rasagiline,10.0,0.1,115.0,Vero E6
rapastinel,10.0,-0.01,94.0,Vero E6
sirolimus,10.0,-0.13,103.5,Vero E6
ranolazine,10.0,0.09,101.0,Vero E6
ranitidine,10.0,-0.1,111.0,Vero E6
ranirestat,10.0,0.15,94.5,Vero E6
ramipril,10.0,0.05,98.5,Vero E6
ramelteon,10.0,0.01,113.5,Vero E6
ramatroban,10.0,-0.01,102.5,Vero E6
raltitrexed,0.83,-0.21,103.5,Vero E6
raltegravir,10.0,0.32,110.0,Vero E6
RAF265,10.0,-0.04,100.0,Vero E6
radezolid,10.0,0.03,110.0,Vero E6
radafaxine,10.0,-0.04,110.5,Vero E6
ractopamine,10.0,-0.07,111.0,Vero E6
raclopride,10.0,0.12,104.0,Vero E6
racecadotril,10.0,0.05,109.5,Vero E6
rac-BHFF,10.0,0.24,95.5,Vero E6
rabeprazole,10.0,0.01,105.5,Vero E6
R547,10.0,-0.35,117.5,Vero E6
R406,10.0,0.09,124.0,Vero E6
R306465,10.0,-0.14,115.0,Vero E6
RG1530,10.0,-0.19,103.5,Vero E6
R112,0.83,0.18,100.5,Vero E6
preclamol,10.0,-0.1,114.5,Vero E6
R-96544,10.0,0.53,54.5,Vero E6
R-59022,10.0,0.15,81.5,Vero E6
R-268712,10.0,0.15,104.5,Vero E6
R-1485,10.0,-0.12,100.5,Vero E6
R-1479,10.0,0.02,109.5,Vero E6
QX-314,10.0,0.04,104.0,Vero E6
QX-222,10.0,0.2,97.0,Vero E6
quizartinib,10.0,0.18,97.5,Vero E6
quipazine,10.0,0.12,104.0,Vero E6
quinpirol-(-),10.0,0.2,92.5,Vero E6
quinolinic-acid,10.0,0.11,107.5,Vero E6
quinine-ethyl-carbonate,10.0,0.21,99.0,Vero E6
quinidine,10.0,0.02,104.5,Vero E6
quinidine,10.0,0.15,111.0,Vero E6
quinethazone,10.0,0.34,88.0,Vero E6
quinaprilat,10.0,0.09,106.0,Vero E6
quinapril,10.0,-0.15,109.0,Vero E6
quinagolide,10.0,-0.24,112.5,Vero E6
mepacrine,0.83,0.48,55.5,Vero E6
quercetin,10.0,0.08,102.5,Vero E6
EVP4593,10.0,-0.17,102.0,Vero E6
Q-203,10.0,0.07,96.0,Vero E6
pyrvinium-pamoate,10.0,-0.08,113.0,Vero E6
pyrrolidine-1-carbonitrile,10.0,0.25,92.0,Vero E6
pyroxamide,0.83,0.04,104.5,Vero E6
pyronaridine,0.83,0.28,100.0,Vero E6
pyritinol,10.0,0.02,100.5,Vero E6
pyrithyldione,10.0,-0.05,107.0,Vero E6
pyrimethamine,0.83,-0.02,115.0,Vero E6
mepyramine,10.0,0.09,106.0,Vero E6
pyridoxine,10.0,0.08,108.5,Vero E6
pyridoxal,10.0,-0.17,109.0,Vero E6
mestinon,10.0,0.09,121.0,Vero E6
amifampridine,10.0,0.06,92.0,Vero E6
pyrazolanthrone,10.0,0.1,105.5,Vero E6
pyrazinoylguanidine,10.0,0.07,107.5,Vero E6
pyrazinamide,10.0,0.07,109.5,Vero E6
pyrantel-pamoate,10.0,0.1,93.5,Vero E6
PYR-41,10.0,0.15,85.0,Vero E6
PX-478,10.0,0.08,102.5,Vero E6
PX-12,10.0,-0.17,95.0,Vero E6
putrescine,10.0,0.04,94.0,Vero E6
purvalanol-B,10.0,-0.01,101.0,Vero E6
purvalanol-A,0.83,-0.03,109.0,Vero E6
purmorphamine,10.0,-0.23,113.0,Vero E6
puerarin,10.0,0.06,98.5,Vero E6
PU-H71,0.83,0.25,96.5,Vero E6
ataluren,10.0,-0.01,111.5,Vero E6
PTC-209,10.0,-0.31,113.5,Vero E6
PT-2385,10.0,0.02,99.0,Vero E6
psoralen,10.0,-0.03,108.0,Vero E6
PSNCBAM-1,10.0,0.01,92.5,Vero E6
PSN-375963,10.0,-0.01,104.0,Vero E6
PSI-7976,10.0,0.09,108.5,Vero E6
PSI-6130,10.0,0.04,104.5,Vero E6
PSB-36,10.0,-0.05,100.5,Vero E6
PSB-1115,10.0,0.18,105.0,Vero E6
PSB-11,10.0,0.14,90.5,Vero E6
PSB-06126,10.0,0.14,112.0,Vero E6
PRX-08066,10.0,-0.3,116.0,Vero E6
pruvanserin,10.0,0.12,98.5,Vero E6
prulifloxacin,10.0,0.2,97.0,Vero E6
prucalopride,10.0,0.03,109.0,Vero E6
PRT4165,10.0,0.19,99.0,Vero E6
Proxyphylline,10.0,0.07,97.0,Vero E6
proxyfan,10.0,-0.15,115.0,Vero E6
protoporphyrin-IX,10.0,-0.03,115.0,Vero E6
protionamide,10.0,0.2,98.0,Vero E6
proquazone,10.0,0.07,103.0,Vero E6
propylthiouracil,10.0,0.0,104.0,Vero E6
propylhexedrine,10.0,-0.02,110.5,Vero E6
propyl-benzoate,10.0,0.11,90.0,Vero E6
propyl 4-hydroxybenzoate,10.0,-0.05,111.0,Vero E6
propranolol,10.0,0.15,102.0,Vero E6
propranolol,10.0,0.14,107.0,Vero E6
propoxur,10.0,-0.28,118.5,Vero E6
propiverine,10.0,0.68,41.0,Vero E6
propidium-iodide,10.0,0.27,93.5,Vero E6
propentofylline,10.0,0.06,101.5,Vero E6
proxymetacaine,10.0,-0.01,108.0,Vero E6
propantheline,10.0,0.21,99.5,Vero E6
propagermanium,10.0,0.13,94.0,Vero E6
propafenone,0.83,-0.11,110.0,Vero E6
pronethalol,10.0,-0.07,104.0,Vero E6
promethazine,10.0,0.53,67.5,Vero E6
promestriene,10.0,0.17,99.5,Vero E6
promazine,10.0,0.41,91.5,Vero E6
prolylleucylglycinamide,10.0,0.1,99.0,Vero E6
proglumide,10.0,0.08,107.0,Vero E6
proglumetacin,10.0,0.09,99.5,Vero E6
progesterone,10.0,0.21,96.0,Vero E6
proflavine-hemisulfate,0.83,0.26,80.5,Vero E6
procyclidine,10.0,0.11,99.5,Vero E6
procyanidin-B-2,10.0,0.11,106.0,Vero E6
prochlorperazine,10.0,0.74,27.5,Vero E6
procaterol,10.0,0.14,88.0,Vero E6
procarbazine,10.0,0.13,106.5,Vero E6
procaine,10.0,-0.11,115.0,Vero E6
procainamide,10.0,0.01,116.5,Vero E6
probucol,10.0,0.09,100.5,Vero E6
probenecid,10.0,-0.09,105.5,Vero E6
proadifen,10.0,0.32,89.5,Vero E6
priralfinamide,10.0,-0.18,113.5,Vero E6
prinaberel,10.0,0.14,96.5,Vero E6
primidone,10.0,0.1,101.5,Vero E6
primaquine,10.0,0.49,76.5,Vero E6
PRIMA1,10.0,0.27,83.5,Vero E6
prilocaine,10.0,-0.21,112.5,Vero E6
pridinol,10.0,0.02,107.5,Vero E6
LY2606368,10.0,-0.1,103.0,Vero E6
presatovir,10.0,0.21,89.0,Vero E6
preladenant,10.0,0.01,111.0,Vero E6
pregnenolone-succinate,10.0,-0.04,104.5,Vero E6
pregnenolone,10.0,-0.28,112.5,Vero E6
PREGABALIN,10.0,-0.08,106.0,Vero E6
prednisone,10.0,-0.18,108.0,Vero E6
prednisolone-sodium-phosphate,10.0,-0.02,93.5,Vero E6
prednisolone-hemisuccinate,10.0,0.17,94.0,Vero E6
prednisolone-acetate,10.0,-0.15,107.5,Vero E6
PRE-084,10.0,-0.0,105.5,Vero E6
prazosin,10.0,-0.06,107.0,Vero E6
praziquantel,10.0,0.15,106.0,Vero E6
PRAVASTATIN SODIUM,10.0,0.06,105.5,Vero E6
pravadoline,10.0,0.05,106.5,Vero E6
prasugrel,10.0,0.08,108.5,Vero E6
prasterone-acetate,10.0,-0.26,110.0,Vero E6
PRASTERONE,10.0,0.1,102.0,Vero E6
pranoprofen,10.0,-0.15,122.0,Vero E6
pranlukast,10.0,0.05,111.0,Vero E6
pranidipine,10.0,-0.06,107.0,Vero E6
pramoxine,10.0,-0.01,106.5,Vero E6
pramiracetam,10.0,-0.05,115.0,Vero E6
pramipexole,10.0,0.03,119.5,Vero E6
pralidoxime,10.0,-0.23,115.5,Vero E6
pralatrexate,10.0,0.04,104.0,Vero E6
LCQ908,10.0,0.27,73.5,Vero E6
practolol,10.0,-0.08,106.0,Vero E6
PR-619,0.83,0.12,98.5,Vero E6
PQ-401,10.0,0.15,96.5,Vero E6
PPY-A,10.0,0.63,72.0,Vero E6
PPT,10.0,0.27,88.0,Vero E6
PP-2,0.83,0.2,99.0,Vero E6
PP-121,10.0,-0.05,114.0,Vero E6
PP-1,0.83,0.11,106.0,Vero E6
poziotinib,10.0,-0.1,108.5,Vero E6
potassium-p-aminobenzoate,10.0,-0.11,107.5,Vero E6
potassium-iodide,10.0,-0.04,114.5,Vero E6
posaconazole,0.83,0.2,102.5,Vero E6
ponesimod,10.0,-0.2,108.5,Vero E6
ponatinib,10.0,0.44,97.0,Vero E6
pomalidomide,10.0,-0.07,108.5,Vero E6
polythiazide,10.0,0.2,100.5,Vero E6
polydatin,10.0,0.01,103.5,Vero E6
polidocanol,10.0,-0.08,115.5,Vero E6
PNU-89843,10.0,0.45,75.0,Vero E6
PNU-74654,10.0,0.27,82.5,Vero E6
PNU-37883,10.0,-0.04,110.0,Vero E6
PNU-282987,10.0,-0.06,99.5,Vero E6
PNU-22394,10.0,0.02,103.0,Vero E6
PNU-177864,10.0,-0.19,110.5,Vero E6
PNU-142633,10.0,0.02,105.5,Vero E6
PNU-120596,10.0,0.27,87.0,Vero E6
VS-4718,10.0,-0.05,111.0,Vero E6
phenylmethylsulfonyl-fluoride,10.0,0.19,95.0,Vero E6
PMPA,10.0,0.05,99.0,Vero E6
PLX8394,10.0,0.16,103.0,Vero E6
PLX647,10.0,0.04,110.5,Vero E6
PLX4720,10.0,-0.03,113.5,Vero E6
plurisin-1,10.0,-0.14,107.5,Vero E6
plinabulin,0.83,-0.06,112.5,Vero E6
plicamycin,10.0,-0.16,104.5,Vero E6
plerixafor,10.0,0.09,95.5,Vero E6
pleconaril,10.0,-0.04,108.0,Vero E6
midostaurin,10.0,-0.11,110.0,Vero E6
PK-THPP,10.0,0.05,104.5,Vero E6
PK-44,10.0,0.17,98.5,Vero E6
PK-11195,10.0,-0.12,111.0,Vero E6
PJ-34,10.0,0.2,92.5,Vero E6
pizotifen,10.0,0.28,94.5,Vero E6
pixantrone,10.0,0.33,71.0,Vero E6
pivmecillinam,10.0,-0.03,99.0,Vero E6
pivampicillin,10.0,0.05,106.0,Vero E6
pivagabine,10.0,0.05,105.0,Vero E6
pitavastatin,10.0,-0.13,115.0,Vero E6
PIT,10.0,0.14,108.0,Vero E6
piroximone,10.0,0.14,100.5,Vero E6
piroxicam,10.0,0.18,98.5,Vero E6
piromidic-acid,10.0,0.03,99.5,Vero E6
pirodavir,10.0,0.03,104.0,Vero E6
piroctone-olamine,10.0,0.41,88.0,Vero E6
pirlindole,10.0,0.01,105.5,Vero E6
pirinixic-acid,10.0,0.02,108.5,Vero E6
piricapiron,10.0,0.11,103.0,Vero E6
pirfenidone,10.0,0.29,83.0,Vero E6
piretanide,10.0,0.03,110.0,Vero E6
pirenzepine,10.0,-0.01,108.0,Vero E6
pirenperone,10.0,0.17,108.5,Vero E6
pirenoxine,10.0,0.1,102.5,Vero E6
pirarubicin,10.0,-0.05,118.5,Vero E6
piracetam,10.0,-0.03,96.5,Vero E6
pipobroman,10.0,0.23,98.5,Vero E6
piperine,10.0,0.03,97.5,Vero E6
piperidolate,10.0,0.17,105.5,Vero E6
piperazinedione,0.83,0.08,105.5,Vero E6
piperacillin,10.0,0.11,96.0,Vero E6
piperacetazine,10.0,0.38,75.0,Vero E6
pipenzolate,10.0,0.15,98.0,Vero E6
pipemidic-acid,10.0,0.14,101.5,Vero E6
pipecuronium,10.0,0.05,105.5,Vero E6
pioglitazone,10.0,0.08,109.5,Vero E6
EPZ-5676,10.0,0.12,110.5,Vero E6
pindolol,10.0,-0.12,110.0,Vero E6
pindolol,10.0,0.09,99.0,Vero E6
pincainide,10.0,0.01,105.5,Vero E6
pinaverium,10.0,-0.14,112.5,Vero E6
pimozide,10.0,0.48,66.5,Vero E6
pimonidazole,10.0,0.06,108.0,Vero E6
pimobendan,10.0,0.13,94.0,Vero E6
pimethixene,10.0,0.37,85.5,Vero E6
AS-703026,0.83,-0.14,113.5,Vero E6
PIM-1-Inhibitor-2,10.0,-0.09,111.0,Vero E6
pilsicainide,10.0,-0.22,115.0,Vero E6
pilocarpine,10.0,-0.11,109.5,Vero E6
pilaralisib,10.0,0.04,103.0,Vero E6
piketoprofen,10.0,-0.11,107.0,Vero E6
pikamilone,10.0,0.07,100.5,Vero E6
PIK-93,0.83,0.33,104.0,Vero E6
PIK-75,0.83,0.03,111.5,Vero E6
PIK-294,10.0,0.06,126.0,Vero E6
pifithrin-cyclic,10.0,-0.12,106.5,Vero E6
pifithrin-alpha,10.0,-0.22,108.5,Vero E6
pidotimod,10.0,-0.15,116.5,Vero E6
GDC-0941,10.0,-0.32,89.0,Vero E6
picrotoxinin,10.0,0.07,116.0,Vero E6
picrotin,10.0,0.03,111.0,Vero E6
picotamide,10.0,-0.08,115.0,Vero E6
chromium-picolinate,10.0,-0.01,112.0,Vero E6
piclamilast,10.0,0.36,107.0,Vero E6
piceatannol,10.0,-0.21,112.5,Vero E6
picartamide,10.0,-0.02,105.5,Vero E6
piboserod,10.0,0.13,92.5,Vero E6
PI4KIII-beta-inhibitor-1,10.0,0.32,66.0,Vero E6
PI-103,10.0,-0.07,118.0,Vero E6
phytosphingosine,10.0,-0.08,108.0,Vero E6
PHTPP,10.0,0.05,104.0,Vero E6
phthalylsulfathiazole,10.0,0.16,101.5,Vero E6
phthalylsulfacetamide,10.0,0.21,99.5,Vero E6
PHT-427,10.0,0.16,93.0,Vero E6
PHP-501,10.0,0.02,108.0,Vero E6
phortress,10.0,-0.32,120.0,Vero E6
phloroglucin,10.0,-0.08,114.0,Vero E6
phlorizin,10.0,0.17,112.5,Vero E6
phloretin,10.0,0.24,103.5,Vero E6
PhiKan-083,10.0,0.51,56.0,Vero E6
phenytoin,10.0,0.17,97.0,Vero E6
phenylpiracetam,10.0,0.17,94.0,Vero E6
phenylbutazone,10.0,0.21,97.5,Vero E6
phenylbenzimidazole-sulfonic-acid,10.0,0.09,104.0,Vero E6
phenylacetylglutamine,10.0,0.07,96.0,Vero E6
phenyl-salicylate,10.0,-0.03,103.0,Vero E6
phenyl-aminosalicylate,10.0,0.1,104.0,Vero E6
phentolamine,10.0,-0.0,98.0,Vero E6
phentermine,10.0,-0.15,117.5,Vero E6
phensuximide,10.0,0.08,112.5,Vero E6
phenprocoumon,10.0,0.09,101.5,Vero E6
phenoxybenzamine,10.0,0.15,105.5,Vero E6
phenolsulfonphthalein,10.0,0.1,105.0,Vero E6
phenolphthalein,10.0,0.04,110.5,Vero E6
pheniramine,10.0,-0.13,110.0,Vero E6
phenindione,10.0,-0.0,106.5,Vero E6
phenindamine,10.0,-0.17,112.5,Vero E6
phenformin,10.0,0.03,110.0,Vero E6
phenelzine,10.0,0.11,101.5,Vero E6
phenazopyridine,10.0,0.34,87.5,Vero E6
phenacetin,10.0,-0.13,116.0,Vero E6
phenacemide,10.0,0.08,113.5,Vero E6
PHCCC,10.0,0.25,79.0,Vero E6
PHA-848125,10.0,-0.14,112.5,Vero E6
PHA-793887,10.0,0.1,113.0,Vero E6
PHA-767491,0.83,0.06,106.5,Vero E6
PHA-680632,10.0,0.11,113.0,Vero E6
PHA-568487,10.0,-0.03,100.5,Vero E6
PH-797804,0.83,-0.16,115.5,Vero E6
PG-9,10.0,0.0,97.0,Vero E6
PFK-158,10.0,0.39,63.5,Vero E6
PFK-015,0.83,0.05,104.5,Vero E6
PFI-4,10.0,0.01,93.5,Vero E6
PFI-3,10.0,-0.04,115.5,Vero E6
PFI-1,0.83,-0.04,108.0,Vero E6
PF-915275,10.0,-0.03,119.5,Vero E6
PF-8380,10.0,0.13,99.5,Vero E6
PF-750,10.0,-0.15,103.5,Vero E6
PF-670462,0.83,0.2,103.0,Vero E6
PF-573228,0.83,0.14,114.0,Vero E6
PF-5274857,10.0,0.24,105.0,Vero E6
PF-4981517,10.0,0.14,100.5,Vero E6
PF-4800567,10.0,0.01,104.5,Vero E6
PF-477736,10.0,0.13,110.0,Vero E6
PF-4708671,10.0,-0.44,115.5,Vero E6
PF-431396,10.0,0.04,113.5,Vero E6
PF-429242,10.0,0.01,98.5,Vero E6
PF-04136309,10.0,0.03,106.0,Vero E6
PF-3845,0.83,0.19,95.5,Vero E6
PF-03758309,10.0,-0.23,111.0,Vero E6
PF-06463922,0.83,0.32,81.5,Vero E6
PF-06447475,10.0,0.3,108.0,Vero E6
PF-05212384,10.0,-0.01,115.0,Vero E6
SNX-5422,10.0,0.13,107.5,Vero E6
PF-04885614,10.0,0.01,103.0,Vero E6
PF-04691502,0.83,0.05,102.5,Vero E6
PF-04620110,10.0,0.12,92.5,Vero E6
PF-04457845,10.0,0.01,104.0,Vero E6
PF-04447943,10.0,0.11,107.5,Vero E6
PF-04418948,10.0,0.04,110.0,Vero E6
PF-04217903,10.0,-0.03,99.0,Vero E6
PF-03814735,0.83,-0.07,124.0,Vero E6
PF-03049423,10.0,-0.08,115.5,Vero E6
PF-562271,0.83,-0.12,106.0,Vero E6
pexmetinib,0.83,0.23,105.0,Vero E6
pexidartinib,10.0,0.47,77.5,Vero E6
pevonedistat,0.83,-0.4,109.5,Vero E6
PETCM,10.0,0.21,83.5,Vero E6
perphenazine,0.83,-0.02,109.0,Vero E6
perospirone,10.0,0.05,115.0,Vero E6
perindoprilat,10.0,0.28,104.5,Vero E6
perindopril,10.0,0.1,95.0,Vero E6
perillyl-alcohol,10.0,0.04,100.0,Vero E6
perifosine,10.0,0.12,104.0,Vero E6
pergolide,10.0,0.34,78.0,Vero E6
perfluamine,10.0,0.16,92.5,Vero E6
peretinoin,10.0,-0.0,108.0,Vero E6
perchlozone,10.0,-0.06,114.5,Vero E6
Perampanel,10.0,0.11,90.5,Vero E6
peramivir,10.0,0.01,101.5,Vero E6
pentoxifylline,10.0,0.03,104.5,Vero E6
pentolinium,10.0,-0.02,101.5,Vero E6
pentobarbital,10.0,0.03,100.0,Vero E6
pentamidine,10.0,0.1,109.0,Vero E6
ammonium-perfluorocaprylate,10.0,-0.03,112.0,Vero E6
penicillin-v-potassium,10.0,-0.02,116.0,Vero E6
benzylpenicillin,10.0,-0.08,113.5,Vero E6
penicillamine-(racemic),10.0,0.07,104.0,Vero E6
penicillamine-(racemic),10.0,0.1,97.0,Vero E6
penciclovir,10.0,0.07,93.5,Vero E6
pempidine,10.0,0.09,96.0,Vero E6
pemirolast,10.0,0.11,94.5,Vero E6
pemetrexed,10.0,-0.15,121.0,Vero E6
pelitinib,10.0,-0.19,110.5,Vero E6
pelanserin,10.0,0.04,104.0,Vero E6
pefloxacin,10.0,0.16,91.5,Vero E6
"Peficitinib (ASP015K, JNJ-54781532)",10.0,0.17,105.5,Vero E6
PDP-EA,10.0,-0.01,106.5,Vero E6
PDE10-IN-1,10.0,-0.1,106.5,Vero E6
PD-318088,0.83,-0.05,112.0,Vero E6
PD-168393,0.83,0.06,90.0,Vero E6
PD-98059,10.0,-0.25,117.5,Vero E6
PD-81723,10.0,-0.07,99.0,Vero E6
PD-407824,0.83,0.69,93.5,Vero E6
PD-198306,10.0,0.07,113.0,Vero E6
PD-173212,10.0,0.17,107.5,Vero E6
PD-168568,10.0,-0.07,114.0,Vero E6
PD-168077,10.0,0.16,102.5,Vero E6
PD-166793,10.0,-0.06,107.0,Vero E6
PD-166285,10.0,-0.13,123.0,Vero E6
PD-161570,0.83,0.09,117.0,Vero E6
PD-160170,10.0,0.22,95.5,Vero E6
PD-158780,10.0,-0.28,112.5,Vero E6
PD-128907,10.0,0.17,87.0,Vero E6
PD-123319,10.0,0.09,99.0,Vero E6
palbociclib,10.0,0.09,108.5,Vero E6
PCO-400,10.0,-0.01,108.0,Vero E6
PCI-34051,0.83,0.11,111.0,Vero E6
ibrutinib,10.0,0.2,109.0,Vero E6
PCI-29732,10.0,-0.01,121.5,Vero E6
PCA-4248,10.0,0.08,94.5,Vero E6
pazufloxacin,10.0,0.2,103.0,Vero E6
epothilone-B,0.83,0.0,115.0,Vero E6
pasireotide,10.0,-0.05,103.5,Vero E6
isoniazid,10.0,-0.11,111.0,Vero E6
paroxetine,10.0,-0.08,117.0,Vero E6
paritaprevir,10.0,0.3,98.0,Vero E6
paricalcitol,10.0,0.1,104.0,Vero E6
pargyline,10.0,0.08,108.0,Vero E6
parecoxib,10.0,0.09,105.5,Vero E6
pardoprunox,10.0,-0.1,103.0,Vero E6
parbendazole,10.0,-0.11,111.0,Vero E6
paraxanthine,10.0,0.14,109.5,Vero E6
parachlorophenol,10.0,0.06,98.0,Vero E6
para-toluenesulfonamide,10.0,-0.04,105.5,Vero E6
papaverine,10.0,0.17,105.0,Vero E6
AS-77,10.0,0.2,98.5,Vero E6
PAOPA,10.0,0.1,110.0,Vero E6
pantothenic-acid,10.0,0.03,109.5,Vero E6
pantoprazole,10.0,-0.14,103.5,Vero E6
panobinostat,0.83,-0.1,105.0,Vero E6
pancuronium,10.0,0.25,102.0,Vero E6
pamidronate,10.0,0.09,113.5,Vero E6
pamabrom,10.0,0.05,101.0,Vero E6
palovarotene,10.0,-0.13,108.0,Vero E6
palosuran,10.0,-0.0,112.5,Vero E6
palonosetron,10.0,0.32,91.5,Vero E6
palomid-529,10.0,0.07,113.0,Vero E6
palmitoylcarnitine,0.83,-0.02,106.5,Vero E6
palmatine-chloride,10.0,0.19,92.0,Vero E6
paliperidone,10.0,0.08,107.5,Vero E6
palifosfamide,10.0,-0.03,107.0,Vero E6
pafuramidine,10.0,0.07,106.0,Vero E6
paeonol,10.0,0.05,100.5,Vero E6
paeoniflorin,10.0,0.19,92.5,Vero E6
pacritinib,0.83,0.29,80.0,Vero E6
PACOCF3,10.0,0.16,97.0,Vero E6
paclitaxel,10.0,0.01,107.5,Vero E6
PAC-1,0.83,0.15,100.5,Vero E6
pretomanid,10.0,0.09,111.5,Vero E6
P7C3,10.0,0.39,59.5,Vero E6
P5091,10.0,0.27,82.5,Vero E6
P276-00,10.0,-0.2,114.5,Vero E6
diadenosine-tetraphosphate,10.0,0.07,108.0,Vero E6
ozolinone,10.0,0.01,107.5,Vero E6
ozagrel,10.0,0.12,92.0,Vero E6
oxytocin,10.0,-0.06,110.0,Vero E6
oxytetracycline,10.0,-0.04,105.5,Vero E6
oxyquinoline,10.0,0.2,93.5,Vero E6
oxypurinol,10.0,-0.16,111.0,Vero E6
oxyphenonium,10.0,0.0,102.0,Vero E6
oxyphencyclimine,10.0,0.02,101.0,Vero E6
oxyphenbutazone,0.83,0.13,102.5,Vero E6
Oxymetholone,10.0,-0.16,120.5,Vero E6
oxymetazoline,10.0,0.23,100.0,Vero E6
oxymatrine,10.0,-0.0,100.0,Vero E6
oxyfedrine,10.0,0.22,102.0,Vero E6
